frame,id,x,y
96,93,650,389
96,96,786,396
97,76,1104,612
97,90,705,530
97,87,1425,517
97,70,1629,363
97,93,692,387
97,91,912,382
97,83,1562,526
97,97,1799,351
98,76,1070,614
98,90,745,529
98,87,1461,517
98,83,1595,526
98,70,1658,363
98,93,727,391
98,97,1830,348
99,76,1026,607
99,90,782,527
99,70,1681,362
99,83,1619,524
99,87,1496,514
99,98,642,373
100,76,1026,608
100,90,816,526
100,99,40,358
100,87,1519,515
100,83,1640,524
100,70,1706,365
100,100,792,390
100,101,1420,551
101,76,1024,606
101,90,844,526
101,70,1724,366
101,99,58,373
101,87,1543,515
101,102,1227,372
101,83,1666,524
101,103,1798,392
101,104,1375,395
102,76,1027,603
102,87,1562,515
102,99,84,377
102,70,1742,367
102,83,1685,524
102,105,830,398
102,106,1161,396
102,90,869,529
102,104,1394,398
103,76,1017,603
103,87,1583,516
103,99,128,380
103,83,1708,527
103,70,1762,376
103,106,1185,396
103,107,839,569
104,76,999,605
104,108,49,385
104,99,170,388
104,106,1208,401
104,109,1113,403
104,83,1724,531
104,107,868,563
104,110,919,506
104,111,1294,380
104,87,1602,523
105,76,992,611
105,108,24,394
105,109,1137,405
105,106,1232,402
105,99,214,389
105,112,1798,357
105,107,896,561
105,113,74,677
105,111,1317,385
105,83,1739,530
105,114,452,684
106,76,1015,616
106,115,124,390
106,109,1092,405
106,113,99,677
106,99,253,393
106,112,1814,363
106,108,46,405
106,106,1256,407
106,116,1646,525
106,114,490,684
106,111,1333,393
106,117,261,218
107,76,999,621
107,99,291,402
107,115,164,394
107,108,67,409
107,118,1188,411
107,109,1119,419
107,119,1036,538
107,113,139,679
107,112,1832,359
107,116,1670,527
107,117,299,223
107,120,1780,535
108,76,982,626
108,115,202,399
108,108,107,410
108,99,328,403
108,118,1142,418
108,121,1306,416
108,116,1695,529
108,112,1857,357
108,117,339,231
108,119,1046,515
108,122,47,627
109,76,933,625
109,115,241,398
109,108,148,412
109,99,363,409
109,123,1237,417
109,124,45,419
109,125,538,358
109,118,1171,426
109,116,1720,529
